student_id,cohort_year,exam_month,institution_region,program_type,age_years,prior_statistics_course,preclinical_gpa,undergrad_quant_score_pct,study_hours_biostats_per_week,study_days_before_exam,practice_exam_count,qbank_biostats_questions_completed,qbank_biostats_accuracy_pct,nbme_baseline_biostats_pct,epidemiology_quiz_pct,average_question_time_sec,sleep_hours_night_before_exam,test_anxiety_score_1_10,self_reported_confidence_1_10,biostat_performance_index_pct,step1_outcome,risk_band
S1BIO-001,2026,May,Northeast,IMG,24,1,3.42,68.9,12.1,28,1,95,53.5,58.5,56.8,106.6,5.9,6.4,5.8,48.7,Pass,At Risk
S1BIO-002,2026,Mar,Midwest,MD,23,0,2.9,48.7,3.2,31,2,83,51,55.9,42.8,90.8,6.9,3.9,4.4,48.3,Pass,At Risk
S1BIO-003,2026,Jun,West,MD,21,1,3.22,73.2,16.5,27,3,187,60.7,67.1,76.3,110.4,7.6,6.2,6.7,56.7,Pass,At Risk
S1BIO-004,2026,Jan,Midwest,DO,25,1,3.41,100,21.3,28,4,238,79.4,65.6,72.7,70.3,5.5,6.4,6.4,64.9,Pass,Borderline
S1BIO-005,2026,Mar,West,DO,22,0,3.12,58.5,13.5,29,4,65,45.7,50.7,49.3,89.7,5.5,6.8,5.1,44.1,Fail,At Risk
S1BIO-006,2026,Mar,West,DO,24,0,2.98,52.8,12,25,4,64,53.5,54,45,101.5,6.3,6.6,5.1,43.9,Pass,At Risk
S1BIO-007,2026,Apr,Northeast,IMG,28,1,3.37,87.6,15.8,29,2,168,79.6,72.5,93.5,87.2,6.8,3.6,8,82.3,Pass,Solid
S1BIO-008,2026,Mar,Northeast,MD,22,1,3.4,78.6,14.6,28,4,136,68.8,53.7,56.2,87,7.1,4.4,7.2,60.4,Pass,Borderline
S1BIO-009,2026,Apr,Midwest,DO,21,1,3.27,63,17.2,20,4,146,54.1,47.7,51.1,89.5,7.3,2.1,7.3,55.8,Pass,At Risk
S1BIO-010,2026,Jun,South,MD,23,1,3.16,79.7,16.2,35,5,176,51.6,53.4,64.5,83.9,6,7.5,5.8,58.9,Pass,At Risk
S1BIO-011,2026,May,West,DO,26,0,2.61,68.3,15.5,25,3,58,54.1,36.3,52.2,86.6,7.2,7.7,4,38.9,Pass,At Risk
S1BIO-012,2026,May,West,DO,27,0,3.24,43.8,16.7,29,6,83,58.7,48.9,57.1,95.7,7.4,4.5,5.5,52.4,Fail,At Risk
S1BIO-013,2026,Feb,South,DO,22,0,3.1,65.2,12,30,5,179,50.8,61.2,68.7,76.2,7.2,5.9,8.5,61.1,Pass,Borderline
S1BIO-014,2026,May,South,MD,25,0,2.92,30.8,13.6,32,6,96,41.2,28,40.1,92.7,6.8,2.1,5.8,29.6,Fail,At Risk
S1BIO-015,2026,Mar,West,MD,23,0,2.49,41.6,26.5,23,5,66,43.9,44.6,32.7,115.8,5.2,8.8,6,40.8,Fail,At Risk
S1BIO-016,2026,May,South,MD,24,0,3.09,44.5,12.7,34,3,110,54.1,51.6,46.1,86.3,5.1,5.5,6.5,48.2,Pass,At Risk
S1BIO-017,2026,Mar,West,IMG,28,0,2.74,43.7,15.9,30,7,146,44.8,40.3,46.9,113.7,6.4,5.5,5.5,49.6,Fail,At Risk
S1BIO-018,2026,Apr,South,IMG,22,0,3.21,59.8,12,27,4,110,36,53.9,68.7,105.9,6.8,5.6,5.9,51,Pass,At Risk
S1BIO-019,2026,Apr,Midwest,MD,24,0,2.87,54,20.3,32,4,87,50.2,42.3,36.1,83.5,6.8,4.4,5.1,36.4,Fail,At Risk
S1BIO-020,2026,Jun,Northeast,MD,25,1,2.58,54.8,17.8,21,2,74,35,43.9,51.6,93.1,6.5,5.9,3.3,39.5,Pass,At Risk
S1BIO-021,2026,Feb,Midwest,MD,26,1,3.37,73.8,20,30,2,156,58,70.6,72.2,56.1,7.2,2,7.2,71.1,Pass,Borderline
